2020-06-02 13:28:02.354 DEBUG 119376 --- [File Watcher] o.s.boot.devtools.restart.Restarter      : Restarting application
2020-06-02 13:28:02.363 DEBUG 119376 --- [Thread-1648] o.s.boot.devtools.restart.Restarter      : Stopping application
2020-06-02 13:28:02.365 DEBUG 119376 --- [Thread-1648] ConfigServletWebServerApplicationContext : Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@359ae3a4, started on Tue Jun 02 11:34:29 IST 2020
2020-06-02 13:28:02.401 DEBUG 119376 --- [Thread-1648] o.s.c.support.DefaultLifecycleProcessor  : Stopping beans in phase 2147483647
2020-06-02 13:28:02.402 DEBUG 119376 --- [Thread-1648] o.s.c.support.DefaultLifecycleProcessor  : Bean 'webServerGracefulShutdown' completed its stop procedure
2020-06-02 13:28:02.402 DEBUG 119376 --- [Thread-1648] o.s.c.support.DefaultLifecycleProcessor  : Stopping beans in phase 2147483646
2020-06-02 13:28:02.938 DEBUG 119376 --- [Thread-1648] o.s.c.support.DefaultLifecycleProcessor  : Bean 'webServerStartStop' completed its stop procedure
2020-06-02 13:28:02.942 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Beans' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Caches' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Health' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Info' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Conditions' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Configprops' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Env' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Loggers' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Threaddump' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Metrics' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Scheduledtasks' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.b.a.e.jmx.JmxEndpointExporter        : Unregister endpoint with ObjectName 'org.springframework.boot:type=Endpoint,name=Mappings' from the JMX domain
2020-06-02 13:28:02.943 DEBUG 119376 --- [Thread-1648] o.s.j.e.a.AnnotationMBeanExporter        : Unregistering JMX-exposed beans on shutdown
2020-06-02 13:28:02.944  INFO 119376 --- [Thread-1648] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-06-02 13:28:03.089 DEBUG 119376 --- [Thread-1648] o.s.boot.devtools.restart.Restarter      : Created RestartClassLoader org.springframework.boot.devtools.restart.classloader.RestartClassLoader@64f1ff8c
2020-06-02 13:28:03.090 DEBUG 119376 --- [Thread-1648] o.s.boot.devtools.restart.Restarter      : Starting application com.raju.springboot.demo.mycoolapp.MycoolappApplication with URLs [file:/C:/Users/raju.motapothula/git/gitdemos/mycoolapp/target/classes/]
